Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FSR1;FRS2;FSR3;FSR4
2017-04-13;10:50:37:7857;1166456;645;0;513;935;0;924;948;
2017-04-13;10:50:37:9663;1166466;640;0;514;935;0;924;948;
2017-04-13;10:50:37:9663;1166476;633;0;516;935;0;924;948;
2017-04-13;10:50:37:9663;1166486;437;0;517;935;0;924;948;
2017-04-13;10:50:37:9663;1166496;525;0;517;935;0;924;948;
2017-04-13;10:50:37:9663;1166507;511;0;516;935;0;924;948;
2017-04-13;10:50:37:9663;1166517;519;0;514;935;0;924;948;
2017-04-13;10:50:37:9663;1166527;547;0;514;935;0;924;948;
2017-04-13;10:50:37:9663;1166537;562;0;513;935;0;924;948;
2017-04-13;10:50:37:9663;1166547;556;0;514;935;0;924;948;
2017-04-13;10:50:37:9663;1166557;560;0;513;935;0;924;948;
2017-04-13;10:50:37:9663;1166567;561;0;514;935;0;924;948;
2017-04-13;10:50:37:9663;1166577;572;0;512;935;0;924;948;
2017-04-13;10:50:37:9663;1166587;568;0;512;935;0;924;948;
2017-04-13;10:50:37:9663;1166597;556;0;511;935;0;924;948;
2017-04-13;10:50:37:9663;1166607;559;0;513;935;0;924;948;
2017-04-13;10:50:37:9663;1166617;553;0;512;935;0;924;948;
2017-04-13;10:50:37:9663;1166627;550;0;511;935;0;924;948;
2017-04-13;10:50:37:9663;1166637;567;0;512;935;0;925;948;
2017-04-13;10:50:37:9825;1166647;567;0;513;935;0;924;948;
2017-04-13;10:50:37:9825;1166657;563;0;513;935;0;924;948;
2017-04-13;10:50:37:9988;1166667;554;0;512;935;0;925;948;
2017-04-13;10:50:37:9988;1166678;486;0;512;935;0;925;948;
2017-04-13;10:50:38:0157;1166688;511;0;513;935;0;925;948;
2017-04-13;10:50:38:0324;1166698;540;0;515;935;0;925;948;
2017-04-13;10:50:38:0324;1166708;520;0;515;935;0;925;948;
2017-04-13;10:50:38:0491;1166718;519;0;514;935;0;925;948;
2017-04-13;10:50:38:0655;1166728;496;0;513;935;0;925;948;
2017-04-13;10:50:38:0655;1166738;480;0;513;935;0;925;948;
2017-04-13;10:50:38:0820;1166748;473;0;512;935;0;925;948;
2017-04-13;10:50:38:0820;1166758;495;0;513;934;0;925;948;
2017-04-13;10:50:38:0983;1166768;482;0;514;934;0;925;948;
2017-04-13;10:50:38:1150;1166778;549;0;515;934;0;925;948;
2017-04-13;10:50:38:1150;1166788;527;0;515;934;0;925;948;
2017-04-13;10:50:38:1313;1166798;515;0;515;934;0;924;948;
2017-04-13;10:50:38:1313;1166808;439;0;516;934;0;924;948;
2017-04-13;10:50:38:1481;1166818;476;0;515;934;0;924;948;
2017-04-13;10:50:38:1648;1166828;518;0;514;934;0;924;948;
2017-04-13;10:50:38:1648;1166838;473;0;515;934;0;924;948;
2017-04-13;10:50:38:1815;1166848;493;0;515;934;0;924;948;
2017-04-13;10:50:38:1976;1166858;497;0;515;934;0;924;948;
2017-04-13;10:50:38:1976;1166868;505;0;513;934;0;924;948;
2017-04-13;10:50:38:2143;1166878;503;0;513;934;0;924;948;
2017-04-13;10:50:38:2143;1166888;540;0;512;934;0;924;948;
2017-04-13;10:50:38:2315;1166898;534;0;512;934;0;924;948;
2017-04-13;10:50:38:2315;1166908;523;0;513;934;0;924;948;
